id,County_Code,District_Code,School_Code,Filler,Test_Year,Subgroup_ID,Test_Type,Total_CAASPP_Enrollment,Total_Tested_At_Entity_Level,Total_Tested_at_Subgroup_Level,Grade,Test_Id,CAASPP_Reported_Enrollment,Students_Tested,Mean_Scale_Score,Percentage_Standard_Exceeded,Percentage_Standard_Met,Percentage_Standard_Met_and_Above,Percentage_Standard_Nearly_Met,Percentage_Standard_Not_Met,Students_with_Scores,Area_1_Percentage_Above_Standard,Area_1_Percentage_At_or_Near_Standard,Area_1_Percentage_Below_Standard,Area_2_Percentage_Above_Standard,Area_2_Percentage_At_or_Near_Standard,Area_2_Percentage_Below_Standard,Area_3_Percentage_Above_Standard,Area_3_Percentage_At_or_Near_Standard,Area_3_Percentage_Below_Standard,Area_4_Percentage_Above_Standard,Area_4_Percentage_At_or_Near_Standard,Area_4_Percentage_Below_Standard,Total_Tested_with_Scores,Area_1_Percentage_Near_Standard,Area_2_Percentage_Near_Standard,Area_3_Percentage_Near_Standard,Area_4_Percentage_Near_Standard
sb_ca2019_all_csv_v4.txt,16,63933,0000000,NA,2019,1,B,NA,288,NA,5,1,48,47,2553.7,27.66,53.19,80.85,10.64,8.51,47,38.30,NA,6.38,44.68,NA,4.26,17.02,NA,14.89,44.68,NA,6.38,288,55.32,51.06,68.09,48.94
sb_ca2019_all_csv_v4.txt,16,63941,0000000,NA,2019,1,B,NA,528,NA,5,1,87,86,2545.6,36.05,33.72,69.77,16.28,13.95,86,34.88,NA,19.77,38.37,NA,9.30,25.58,NA,10.47,47.67,NA,12.79,528,45.35,52.33,63.95,39.53
sb_ca2019_all_csv_v4.txt,16,63958,0000000,NA,2019,1,B,NA,268,NA,5,1,41,41,2460.5,12.20,19.51,31.71,31.71,36.59,41,19.51,NA,39.02,7.32,NA,31.71,9.76,NA,34.15,14.63,NA,43.90,268,41.46,60.98,56.10,41.46
sb_ca2019_all_csv_v4.txt,16,63966,0000000,NA,2019,1,B,NA,210,NA,5,1,42,42,2469.3,16.67,16.67,33.33,21.43,45.24,42,16.67,NA,38.10,23.81,NA,30.95,4.76,NA,26.19,21.43,NA,45.24,210,45.24,45.24,69.05,33.33
sb_ca2019_all_csv_v4.txt,17,10173,0000000,NA,2019,1,B,NA,21,NA,5,1,*,*,*,*,*,*,*,*,*,*,NA,*,*,NA,*,*,NA,*,*,NA,*,21,*,*,*,*
sb_ca2019_all_csv_v4.txt,17,64014,0000000,NA,2019,1,B,NA,869,NA,5,1,118,115,2456.0,9.57,24.35,33.91,22.61,43.48,115,13.04,NA,36.52,10.43,NA,46.09,8.70,NA,33.04,12.17,NA,44.35,869,50.43,43.48,58.26,43.48
sb_ca2019_all_csv_v4.txt,17,64022,0000000,NA,2019,1,B,NA,1757,NA,5,1,282,263,2423.6,6.84,12.93,19.77,19.01,61.22,263,9.51,NA,57.03,6.49,NA,56.87,5.70,NA,40.68,9.89,NA,60.08,1755,33.46,36.64,53.61,30.04
sb_ca2019_all_csv_v4.txt,18,64170,0000000,NA,2019,1,B,NA,150,NA,5,1,25,25,2547.5,32.00,52.00,84.00,16.00,0.00,25,48.00,NA,4.00,40.00,NA,16.00,16.00,NA,0.00,32.00,NA,8.00,150,48.00,44.00,84.00,60.00
sb_ca2019_all_csv_v4.txt,18,64188,0000000,NA,2019,1,B,NA,138,NA,5,1,22,21,2467.2,9.52,33.33,42.86,14.29,42.86,21,23.81,NA,47.62,4.76,NA,28.57,14.29,NA,23.81,14.29,NA,38.10,138,28.57,66.67,61.90,47.62
sb_ca2019_all_csv_v4.txt,18,64196,0000000,NA,2019,1,B,NA,672,NA,5,1,126,124,2474.3,12.90,25.00,37.90,27.42,34.68,124,17.74,NA,29.03,20.97,NA,29.84,11.29,NA,26.61,17.74,NA,35.48,672,53.23,49.19,62.10,46.77
sb_ca2019_all_csv_v4.txt,18,64204,0000000,NA,2019,1,B,NA,92,NA,5,1,13,12,2478.8,0.00,41.67,41.67,25.00,33.33,12,8.33,NA,33.33,8.33,NA,33.33,16.67,NA,8.33,0.00,NA,16.67,92,58.33,58.33,75.00,83.33
sb_ca2019_all_csv_v4.txt,18,75036,0000000,NA,2019,1,B,NA,126,NA,5,1,22,22,2470.0,13.64,18.18,31.82,27.27,40.91,22,27.27,NA,31.82,13.64,NA,45.45,4.55,NA,18.18,22.73,NA,40.91,126,40.91,40.91,77.27,36.36
